subdomain,domain,tld,path_rest,url_length,path_rest_length,num_spcs_chars,domain_entropy,domain_age,created_year,updated_year,expires_year,country_code
br,wahler.com.br,br,Cielo2012/index.php,33,19,0,3.3927474104487847,9125.0,1998,2020,2027,
br,wahler.com.br,br,Cielo2012/,24,10,0,3.3927474104487847,9125.0,1998,2020,2027,
pl,autostrada4x4.pl,pl,templates/atomic/language/en-GB/mc1/?rewards/vouchers/surpreenda,81,64,0,3.452819531114783,,,,,
com,matthemmings.com,com,blog/wordpress/wp-content/themes/twentyeleven/images/headers/allyce.php?8823478.00000000000.547hfhsgh2g34hbsd.w38427.23423525434,145,128,0,3.375,1939.0,2018,2023,2024,GB
cn,www.bandbox.com.cn,cn,Js/?www.runescape.com/m=weblogin/loginform.html,66,47,0,3.197159723424149,4618.0,2010,,2023,
fi,agriservice.fi,fi,www.paypal.com/au/secure-code496/cgi-bin/,56,41,0,3.182005814760214,,,,,
fi,agriservice.fi,fi,www.paypal.com/au/,33,18,0,3.182005814760214,4629.0,19.1,27.9,19.1,FI
ar,casheninternet.com.ar,ar,reemplazar-esto/x/script/Administrator/,61,39,0,3.463280517810811,,,,,
me,migre.me,me,bDBY5,14,5,0,2.5,5287.0,2009,2023,2024,US
asia,clubdiamonds.asia,asia,wp-includes/js/tinymce/plugins/wordpress/lloydstsb/login.jsp.htm,82,64,0,3.4548223999466066,,,,,
asia,fvbnmjk.asia,asia,1051kjmwv/live.html,32,19,0,3.4182958340544896,,,,,
org,koltukkanepe.org,org,securepaypal/security/security/login.php,57,40,0,3.452819531114783,,,,,
com,vt.birbakim.com,com,accounte/secure-code98/home/,44,28,0,3.373557262275185,402.0,2022,2023,2023,CN
info,ghrleads.info,info,admin/pt-BR/Paginas/default7745589654.html,56,42,0,3.7004397181410926,,,,,
me,migre.me,me,bDBZx,14,5,0,2.5,5287.0,2009,2023,2024,US
gr,cinephilia.gr,gr,search/cadastro3/,31,17,0,3.334679141051595,,,,,
ly,bit.ly,ly,atendimento_bb,21,14,0,2.584962500721156,5544.0,2008,2022,2032,US
net,www.navegueuebis.net,net,,21,0,0,3.384183719779189,,,,,
au,enviropainterqld.org.au,au,wp-content/uploads/WelzGia/wellsa/index.htm,67,43,0,3.7950885863977324,,,,,
pl,www.autostrada4x4.pl,pl,templates/atomic/language/en-GB/mc/,56,35,0,3.546439344671015,,,,,
com,www.matthemmings.com,com,blog/wordpress/wp-content/themes/twentyeleven/images/headers/allyce.php,92,71,0,3.484183719779189,1939.0,2018,2023,2024,GB
pl,autostrada4x4.pl,pl,templates/atomic/language/en-GB/mc/?rewards/vouchers/surpreenda,80,63,0,3.452819531114783,,,,,
com,matthemmings.com,com,blog/wordpress/wp-content/themes/twentyeleven/images/headers/allyce.php,88,71,0,3.375,1939.0,2018,2023,2024,GB
ar,casheninternet.com.ar,ar,reemplazar-esto/x/script/Administrator/80d4aea1c4ba9e526d2a38b42f87a074/erreur.html,105,83,0,3.463280517810811,,,,,
com,soldierforever.com,com,.tbt/Www.PayPal.fr4/Langue&id=FR-fr/c0aeae66fdbfb2119927117e3a6765c403f4977abcf/cmd=_login-submit&dispatch=5885d80a13c0db1fb6947/info_updating/paypal/,169,150,0,3.377443751081734,,,,,
cn,hina.com.cn,cn,js/?www.runescape.com/m=weblogin/loginform.html,59,47,0,2.913977073182752,978.0,2020,,2023,
com,samanthahannyphotography.com,com,wp-content/uploads/2012/Trulia/index.htm,69,40,0,3.4816615121017565,4871.0,2010,2023,2025,US
tr,paypal.com.cgi.bin.bb570c8713a0a5e9a5c1ed51ffa731e0.tardas.com.tr,tr,,66,0,0,4.356511275528549,4035.0,2012,,2024,
net,skvs.stedu.net,net,Images/index.htm?us.battle.net/login/en/?ref=neazemmus.battle.net/d3/en/index&app=com-d3,103,88,0,3.039148671903071,7969.0,2001,2022,2023,
com,manager.meritxx.com,com,,20,0,0,3.4713544870139286,,,,,
com,www.dldcreations.com,com,images/OKIE/form.php,41,20,0,3.6841837197791887,,,,,
