tld,country_code,url_length,path_rest_length,num_spcs_chars,domain_entropy,domain_age,created_year,updated_year,expires_year,word_count,tld_in_path_rest,Label
com,US,24,17,0,2.25,10504,1994,2022,2023,0,0,good
org,US,36,19,0,3.45,8230,2001,2022,2024,0,0,good
org,FR,33,11,0,3.5,7207,2003,2022,2023,0,0,good
org,CA,30,13,0,3.62,6458,2005,2023,2024,0,0,good
com,US,39,24,0,3.04,8702,1999,2023,2023,0,1,good
net,US,34,18,0,3.32,8754,1999,2020,2024,0,0,good
com,US,31,24,0,2.25,10504,1994,2022,2023,0,0,good
com,AT,25,7,0,3.57,7082,2004,2023,2025,0,0,good
com,AU,38,20,0,3.29,8164,2001,2023,2025,0,0,good
org,CA,30,14,0,3.37,9309,1998,2022,2028,0,0,good
com,US,41,26,0,3.04,8702,1999,2023,2023,0,1,good
com,US,22,11,0,2.45,10030,1996,2023,2023,0,0,good
com,US,32,12,0,3.29,7880,2001,2022,2023,0,1,good
com,IS,33,16,0,3.33,9848,1996,2021,2026,0,0,good
com,GB,40,18,0,3.4,9198,2013,2022,2028,0,0,good
nz,-1,50,35,0,2.99,-1,-1,-1,-1,0,0,good
com,US,42,19,0,3.52,6490,2005,2023,2025,0,0,good
com,LV,28,13,0,3.04,6629,2005,2023,2024,0,0,good
ru,-1,15,0,0,3.32,-1,-1,-1,-1,0,0,bad
ru,-1,17,0,0,3.08,-1,-1,-1,-1,0,0,bad
ru,-1,15,0,0,3.32,-1,-1,-1,-1,0,0,bad
ru,-1,18,0,0,3.5,-1,-1,-1,-1,0,0,bad
info,-1,31,11,0,3.58,-1,-1,-1,-1,0,0,bad
in,-1,21,0,0,3.21,-1,-1,-1,-1,0,0,bad
com,AU,38,21,0,3.45,6797,2004,2022,2023,1,0,bad
au,-1,114,101,0,2.86,-1,-1,2023,-1,3,2,bad
net,-1,58,43,0,3.38,-1,-1,-1,-1,2,0,bad
info,-1,27,7,0,3.58,-1,-1,-1,-1,0,0,bad
com,-1,47,25,0,3.88,-1,-1,-1,-1,0,0,bad
au,-1,114,88,0,3.46,-1,-1,-1,-1,7,3,bad
com,BG,60,41,0,3.28,2610,2016,2023,2024,4,1,bad
com,US,107,87,0,3.58,7199,2003,2020,2023,5,4,bad
mx,US,61,0,0,4.11,4951,2009,2023,2023,2,0,bad
com,-1,33,12,0,3.45,-1,-1,-1,-1,0,0,bad
net,-1,79,69,0,3.17,-1,-1,-1,-1,1,2,bad
com,-1,76,59,0,3.62,-1,-1,-1,-1,4,1,bad
net,-1,23,4,0,3.28,-1,-1,-1,-1,0,0,bad
tk,-1,25,9,0,2.66,-1,-1,-1,-1,1,0,bad
br,-1,122,104,0,3.29,-1,-1,-1,-1,3,0,bad
com,-1,53,28,0,3.69,-1,-1,-1,-1,2,1,bad
com,-1,43,18,0,3.69,-1,-1,-1,-1,2,0,bad
ru,-1,29,10,0,3.42,-1,-1,-1,-1,1,1,bad
com,-1,126,106,0,3.41,-1,-1,-1,-1,4,2,bad
com,-1,54,36,0,3.34,-1,-1,-1,-1,2,0,bad
com,-1,45,27,0,3.34,-1,-1,-1,-1,2,0,bad
com,NL,194,176,0,3.38,6807,2004,2022,2023,5,0,bad
com,-1,207,176,0,3.67,-1,-1,-1,-1,4,0,bad
net,NL,197,176,0,3.52,7522,2002,2022,2023,5,0,bad
com,-1,212,176,0,3.78,-1,-1,-1,-1,4,0,bad
com,NL,198,176,0,3.59,6276,2006,2023,2024,5,0,bad
com,US,23,0,0,4,8632,1999,2022,2023,1,0,bad
com,US,346,326,8,3.47,-1,1999,2022,2023,8,0,bad
co,US,22,15,0,2.58,4707,2010,2022,2023,0,0,bad
co,US,20,13,0,2.58,4707,2010,2022,2023,0,0,bad
biz,-1,58,17,0,3.68,-1,-1,-1,-1,1,0,bad
cl,-1,73,48,0,3.91,-1,-1,-1,-1,0,1,bad
com,-1,52,23,0,3.57,-1,-1,-1,-1,2,0,bad
com,-1,37,19,0,3.34,-1,-1,-1,-1,0,0,bad
net,-1,64,41,1,3.52,-1,-1,-1,-1,2,0,bad
com,US,145,113,0,3.78,1053,2020,2022,2023,7,0,bad
ru,-1,224,206,0,3.57,8877,1999,-1,2024,4,0,bad
nl,-1,29,12,0,3.38,7202,2003,2022,-1,1,0,bad
